sample_name	amplicon_number	amplicon_decomposition_class	ecDNA+	BFB+	ecDNA_amplicons	No amp/Invalid	Linear amplification	Trivial cycle	Complex non-cyclic	Complex cyclic	foldback_read_prop	BFB_bwp	Distal_bwp	BFB_cwp	Amp_entropy	Amp_decomp_entropy	Amp_nseg_entropy
5637_URINARY_TRACT	amplicon1	Cyclic	Positive	None detected	2	0.0215940761323548	0.018247579415072036	0.3020158642263516	0.24191041075917497	0.41623206946704655	0	0	0	0	6.1510672377349564	1.7943584110453648	4.356708826689592
59M_OVARY	amplicon1	Complex non-cyclic	None detected	None detected	0	0.32471347535416417	0.0	0.0006552567342973089	0.6746312679115385	0.0	0.32978723404255317	0	0	0	4.510999119613377	1.4199566662550613	3.0910424533583156
59M_OVARY	amplicon2	Cyclic	Positive	None detected	2	0.11885760533197931	0.010247884138962998	8.904205672834603e-05	0.7031997394186535	0.16760572905367555	0.049019607843137254	0.05227405024501653	0.7004692901422128	0.30240769308882975	7.163431331455195	2.4629509656627784	4.700480365792417
59M_OVARY	amplicon3	Linear amplification	None detected	None detected	0	0.12671750459222236	0.8732824954077776	0.0	0.0	0.0	0	0	0	0	1.0732482376876056	0.38010105712766035	0.6931471805599453
59M_OVARY	amplicon4	Linear amplification	None detected	None detected	0	0.10499401675715966	0.5915132326554392	0.0	0.30349275058740105	0.0	0	0	0	0	2.5923335968807866	0.9828956844466861	1.6094379124341003
59M_OVARY	amplicon5	Linear amplification	None detected	None detected	0	0.0	1.0	0.0	0.0	0.0	0	0	0	0	3.669287096385469e-13	3.669287096385469e-13	0
59M_OVARY	amplicon6	No amp/Invalid	None detected	None detected	0	0.9999999999999999	0.0	0.0	0.0	0.0	0	0	0	0	3.2933844695633328	0.9907993765692871	2.3025850929940455
59M_OVARY	amplicon7	No amp/Invalid	None detected	None detected	0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	1.790734600116325	0.6921223114482151	1.0986122886681098
8305C_THYROID	amplicon1	Cyclic	Positive	None detected	1	0.03977682097859554	0.01686889591493886	0.0	0.0	0.9433542831064656	0	0	0	0	3.1122354310027864	0.4041852299005765	2.70805020110221
8305C_THYROID	amplicon2	No amp/Invalid	None detected	None detected	0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	1.8559076026134806	0.4696132414935901	1.3862943611198906
A101D_SKIN	amplicon1	Linear amplification	None detected	Positive	0	0.08459067603077632	0.711242810015239	0.0	0.20416651395398466	0.0	1.0	0.4648391835197092	0.0	1.0	2.6189526665282385	0.8271931973001837	1.791759469228055
A101D_SKIN	amplicon2	Linear amplification	None detected	None detected	0	0.0	1.0000000000000002	0.0	0.0	0.0	0	0	0	0	3.5568598355710113	0.9919104781094745	2.5649493574615367
A204_SOFT_TISSUE	amplicon1	No amp/Invalid	None detected	None detected	0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	2.327475911474004	0.7180379990399037	1.6094379124341003
A2780_OVARY	amplicon1	No amp/Invalid	None detected	None detected	0	0.9999999999999998	0.0	0.0	0.0	0.0	0	0	0	0	2.6584375078468927	0.7125273587915792	1.9459101490553135
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	amplicon1	Linear amplification	None detected	None detected	0	0.24353369419733265	0.7564663058026674	0.0	0.0	0.0	0	0	0	0	1.2482606008110895	0.5551134202511443	0.6931471805599453
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	amplicon2	Cyclic	Positive	None detected	1	0.0	0.6131718117992101	0.38682818820078985	0.0	0.0	0	0	0	0	2.430517156338166	0.8210792439040657	1.6094379124341003
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	amplicon3	Linear amplification	None detected	None detected	0	0.07788939946775511	0.9221106005322449	0.0	0.0	0.0	0	0	0	0	1.4772428951361978	0.378630606468088	1.0986122886681098
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	amplicon4	Cyclic	Positive	None detected	1	0.20977912226978312	0.4266986630624737	0.005060278408920767	0.21207785026106207	0.14638408599776015	0	0	0	0	5.945715308526376	2.0745142976184847	3.871201010907891
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	amplicon5	No amp/Invalid	None detected	None detected	0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0.693488245740176	0.00034106518023070735	0.6931471805599453
A704_KIDNEY	amplicon1	Linear amplification	None detected	None detected	0	0.38485473057081643	0.6151452694291835	0.0	0.0	0.0	0	0	0	0	1.363848598656234	0.6707014180962888	0.6931471805599453
ABC1_LUNG	amplicon1	Cyclic	Positive	None detected	1	0.0	0.5522645956519546	0.4477354043480454	0.0	0.0	0	0	0	0	2.644914730573505	0.8531552613454498	1.791759469228055
ABC1_LUNG	amplicon2	Linear amplification	None detected	None detected	0	0.0	0.9986584512902752	0.0	0.0013415487097248205	0.0	0	0	0	0	2.288337005886139	0.6788990934520388	1.6094379124341003
