sample_name	amplicon_number	feature	gene	gene_cn	truncated	is_canonical_oncogene
5637_URINARY_TRACT	amplicon1	ecDNA_1	CASC15	67.41932920134495	None	False
5637_URINARY_TRACT	amplicon1	ecDNA_1	CDKAL1	30.734503256269242	None	False
5637_URINARY_TRACT	amplicon1	ecDNA_1	E2F3	24.584896594889223	None	True
5637_URINARY_TRACT	amplicon1	ecDNA_1	HDGFL1	29.757286882711952	None	False
5637_URINARY_TRACT	amplicon1	ecDNA_1	NBAT1	29.75728688271195	None	False
5637_URINARY_TRACT	amplicon1	ecDNA_1	PRL	29.75728688271195	None	False
5637_URINARY_TRACT	amplicon1	ecDNA_1	SOX4	42.832247749934176	None	True
5637_URINARY_TRACT	amplicon1	ecDNA_2	ARPC4	10.702253367021047	None	False
5637_URINARY_TRACT	amplicon1	ecDNA_2	ARPC4-TTLL3	10.702253367021047	None	False
5637_URINARY_TRACT	amplicon1	ecDNA_2	ATG7	9.06981674175952	None	False
5637_URINARY_TRACT	amplicon1	ecDNA_2	ATP2B2	17.283489630383706	None	False
5637_URINARY_TRACT	amplicon1	ecDNA_2	ATP2B2-IT2	14.22028228324603	None	False
5637_URINARY_TRACT	amplicon1	ecDNA_2	BRK1	14.613311097481517	None	False
5637_URINARY_TRACT	amplicon1	ecDNA_2	BRPF1	14.703894556460604	None	False
5637_URINARY_TRACT	amplicon1	ecDNA_2	CAMK1	10.702253367021047	None	False
5637_URINARY_TRACT	amplicon1	ecDNA_2	CAND2	13.175018960779912	None	False
5637_URINARY_TRACT	amplicon1	ecDNA_2	CIDEC	10.702253367021047	None	False
5637_URINARY_TRACT	amplicon1	ecDNA_2	CIDECP1	14.852734349792943	None	False
5637_URINARY_TRACT	amplicon1	ecDNA_2	CPNE9	14.703894556460604	None	False
5637_URINARY_TRACT	amplicon1	ecDNA_2	CRELD1	10.702253367021047	None	False
5637_URINARY_TRACT	amplicon1	ecDNA_2	EMC3	14.852734349792943	None	False
5637_URINARY_TRACT	amplicon1	ecDNA_2	EMC3-AS1	14.852734349792943	None	False
5637_URINARY_TRACT	amplicon1	ecDNA_2	FANCD2	14.852734349792943	None	True
5637_URINARY_TRACT	amplicon1	ecDNA_2	FANCD2OS	14.613311097481517	None	False
5637_URINARY_TRACT	amplicon1	ecDNA_2	FBLN2	13.1750189607799	None	False
5637_URINARY_TRACT	amplicon1	ecDNA_2	FGD5P1	13.1750189607799	None	False
5637_URINARY_TRACT	amplicon1	ecDNA_2	GHRL	15.634037031823349	None	False
5637_URINARY_TRACT	amplicon1	ecDNA_2	GHRLOS	15.634037031823349	None	False
5637_URINARY_TRACT	amplicon1	ecDNA_2	HDAC11	13.1750189607799	None	False
5637_URINARY_TRACT	amplicon1	ecDNA_2	HDAC11-AS1	13.1750189607799	None	False
5637_URINARY_TRACT	amplicon1	ecDNA_2	HRH1	9.06981674175952	None	False
5637_URINARY_TRACT	amplicon1	ecDNA_2	IL17RC	10.702253367021047	None	False
